codcp,village,etp,ghm,humidity,pop,pp,runnof,soil,tmmx,tmmn,lat,lon,distance_m
1601130022,PEÑA NEGRA,31.131048158333332,0.3264849,0.2184728,2.7544162,3003.5228286,1973.7409131,487.1143211,377.2085273,262.171343,-3.8631473619999497,-73.33677619199995,18418.715350916613
1601130004,PUERTO ALMENDRAS,31.15949129166667,0.3109311,0.2185268,1.1825184,3005.5606713,1975.6000297,478.9061934,378.4208575,262.3170652,-3.831724965999967,-73.37801906399994,19885.632203251753
1601130070,UNION PROGRESO,30.941474475,0.3455565,0.2184848,2.7881847,3004.7093196,1974.6008715,485.8812172,377.3746063,262.1727444,-3.8568092579999416,-73.33871701599998,17770.6167111129
1601130005,NINA RUMI,31.623332016666662,0.2829892,0.2185641,0.8219515,3006.0720939,1975.999455,480.6200872,378.236369,262.2708106,-3.8447595399999273,-73.38588096899997,21755.42477605374
1601130024,VARILLAL,31.751943591666667,0.2773361,0.218355,1.898861,3002.8927156,1973.3673935,490.1191427,376.9163479,262.0516601,-3.8876902749999545,-73.35141680199996,21925.342764508776
1601130027,NUEVA ESPERANZA,32.03253865833334,0.2278326,0.2179684,0.2940602,3005.3332012,1979.643119,488.3264243,377.3908055,261.7465471,-3.906267507999928,-73.41363058399997,33854.08867546943
1601130025,MORALILLO,32.708934375,0.2281967,0.2182433,1.1486127,2994.0660985,1966.5732336,495.1489248,376.5606729,262.291864,-3.915436227999976,-73.34036586599996,25600.65797271283
1601130065,SAN CARLOS,32.74498173333333,0.172678,0.2181532,0.5562915,2984.9153701,1958.3824695,500.9460708,376.7245169,262.6905411,-3.959130398999946,-73.34505209399998,32709.3667246979
1601130028,EL DORADO,31.86200953333333,0.2239236,0.2175948,0.5294893,2997.2832533,1972.7488738,495.442785,377.006861,261.8811197,-3.954165474999968,-73.40641990799998,32487.197088629106
1601130034,NUEVO MILAGRO,31.992602983333335,0.2219837,0.2179974,0.6840985,2998.0975078,1971.4787693,495.6623545,376.7063023,261.9441213,-3.93826106399996,-73.37464131199994,30540.5869658131
1601130036,VILLA EL BUEN PASTOR,32.44658148333333,0.2090635,0.2180965,0.73568770000000006,2992.5145915,1965.9016499,498.1016499,376.7067879,262.2597037,-3.949059888999954,-73.36246788399995,30771.732524656578
1601130026,SAN JOSE,31.879494508333337,0.2310213,0.2178422,0.57298,3001.1153123,1975.3038206,493.4020934,376.8933535,261.8044789,-3.931735723999964,-73.39156817399999,29864.088954621155
1601130012,3 DE OCTUBRE,32.834098166666664,0.1804365,0.2181697,0.6192411,2986.0955707,1959.7917658,500.7274376,376.8644075,262.5652101,-3.9662161749999423,-73.36157188999994,32940.23556644345
1601130013,BELEN DE JUDA,32.94658976666667,0.1943329,0.2180391,0.5707309,2984.81202,1958.7281871,500.9015359,377.1776693,262.5741664,-3.978226551999967,-73.38412630799996,36604.238176265026
1601130031,13 DE FEBRERO,32.939257575,0.2261928,0.2177098,0.5044411,2972.6731398,1943.9527395,501.1398296,377.6803032,262.5060141,-4.014409999999941,-73.43398833299995,40011.11531713951
1601130032,PAUJIL I ZONA,33.080761275,0.2151007,0.2178342,0.5709041,2956.7495666,1928.0003963,503.5046312,378.0985537,262.9563178,-4.042299999999955,-73.43765833299994,43096.21698410986
1601130030,PAUJIL II ZONA,31.822475591666667,0.2143052,0.2174959,0.3364893,2975.6485014,1947.7634382,496.8338023,377.593728,261.9097201,-4.003309999999942,-73.46996833299994,49122.31533032007
1601130029,24 DE JUNIO,33.4804313,0.2241628,0.2178774,0.5261234,2968.4056679,1939.4468391,502.8766845,377.8154727,262.7917905,-4.021109999999965,-73.42367166699995,40926.05762540194
1601130033,NUEVO HORIZONTE,33.046601716666665,0.1872992,0.2178455,0.4721282,2937.7040377,1910.7220213,505.2301858,378.4974882,263.2862026,-4.071663332999947,-73.44562833299995,46687.64316745863
1601130039,EX PETROLEROS II ZONA,32.546224716666664,0.1843402,0.2176798,0.424284,2938.2699396,1911.8351828,502.1820222,378.3957545,262.7953284,-4.064826666999977,-73.47497999999996,52884.177728076276
1601130037,EX PETROLERO I ZONA,32.951131233333335,0.17828,0.2179544,0.4288356,2922.2420704,1895.674353,506.6398337,378.798179,263.4579989,-4.094611473999976,-73.45324767899996,49222.8208996488
1601130040,SAN PEDRO PINTUYACU,34.07780356666667,0.1507235,0.2185518,0.2713061,2911.281589,1884.6851256,511.3024568,378.7564317,264.001164,-4.103035340999952,-73.40280761499997,56106.13666915701
1601130045,SAN LUCAS,32.90192365,0.1752603,0.2180019,0.4393082,2915.8870177,1889.2128882,507.4334984,378.9082223,263.5167368,-4.10399728699997,-73.45458188499998,50410.092327288185
1601130044,10 DE OCTUBRE I ZONA,33.34716289166667,0.1696807,0.2180933,0.355729,2902.698159,1876.0186578,509.7811145,379.1050579,263.7162031,-4.123836852999943,-73.44824611699994,53648.99464716267
1601130056,CAHUIDE,32.59718765,0.1664597,0.2181511,0.3610758,2832.7034322,1808.5890743,511.9342826,380.5192957,264.3311475,-4.230846225999926,-73.48743541599998,65315.44568453316
1601130046,EL TRIUNFO,32.656366008333336,0.1691175,0.2179549,0.2917965,2883.3728352,1857.3424542,510.7445571,379.5052895,263.6540871,-4.154148539999937,-73.47430957899996,56263.78060763251
1601130055,12 DE ABRIL,32.44747713333334,0.1670905,0.2181032,0.3508206,2840.0983371,1816.0749777,512.1244482,380.3977432,264.2902554,-4.219298394999953,-73.48396803699995,63688.0104169393
1601130049,HABANA,32.34942048333333,0.1679332,0.2180427,0.3493568,2851.0665214,1826.7955322,512.2486602,380.2106147,264.2263956,-4.203190628999948,-73.47927616599998,61864.68510651092
1601130018,ZUNGARO COCHA,30.144511558333335,0.3860779,0.2184753,2.155796,3007.2327113,1976.7372902,479.716712,378.2160784,262.2325924,-3.828583225999978,-73.35497277799993,17109.29767915378
